kHz:75;Time(UTC):93;Days:59;ITU:49;Station:201;Lng:49;Target:62;Remarks:135;P:35;Start:60;Stop:60; 
13479;0300-0310;Su;RUS;V07 Russian Spy Numbers;S;As;kh;1;0106;3006
13486;0140-0150;Su;RUS;V07 Russian Spy Numbers;S;As;kh;1;0111;3011
13489;1700-1710;We;RUS;E06 Russian Spy Numbers;E;RUS;xx;1;0105;3108[0518]
13515;0640-0650;Fr;UKR;S06s Spy Numbers;R;UKR;rv;1;0103;3004
13515;0640-0650;Fr;UKR;S06s Spy Numbers;R;UKR;rv;1;0109;3110
13521;0300-0310;Su;RUS;V07 Russian Spy Numbers;S;As;kh;1;0105;3105
13521;0300-0310;Su;RUS;V07 Russian Spy Numbers;S;As;kh;1;0107;3107
13527.7;0000-2400;;RUS;Channel Marker D;-CW;EEu;se;1;;[0920]
13527.8;0000-2400;;RUS;Channel Marker P;-CW;RUS;kl;1;;[0520]
13527.9;0000-2400;;RUS;Channel Marker S;-CW;RUS;sm;1;;[0520]
13528;0000-2400;;RUS;Channel Marker C;-CW;RUS;m;1;;[0419]
13528.1;0000-2400;;RUS;Channel Marker A;-CW;RUS;as;1;;[0419]
13528.2;0000-2400;;RUS;Channel Marker F;-CW;FE;vl;1;;[0417]
13528.3;0000-2400;;RUS;Channel Marker K;-CW;FE;as;1;;[0417]
13528.4;0000-2400;;RUS;Channel Marker M;-CW;FE;mg;1;;[1020]
13530;2100-1600;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[1020]
13530.2;1000-1300;;TWN;Sound of Hope;M;FE;;1;;[1020]
13530.2;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
13530.2;1400-1430;;TWN;Sound of Hope;M;FE;;1;;
13530.2;1430-1500;;TWN;Sound of Hope;M;FE;;1;;
13530.2;1500-1530;;TWN;Sound of Hope;M;FE;;1;;
13530.2;1530-1600;;TWN;Sound of Hope;M;FE;;1;;
13530.2;2100-2130;;TWN;Sound of Hope;M;FE;;1;;
13530.2;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
13530.2;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
13530.2;2300-1000;;TWN;Sound of Hope;M;FE;;1;;[0120]
13535;0100-0110;Su;RUS;V07 Russian Spy Numbers;S;As;kh;1;0109;3009
13537;0510-0520;Mo,We;POL;S11a Polish Spy Numbers;R;;p;1;0105;3108
13537;1225-1235;Mo,Fr;POL;E11 Polish Spy Numbers;E;;p;1;0105;3108[0818]
13538;0430-0600;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
13538;0600-0830;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
13538;0915-1130;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
13538;1530-1600;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
13538;2230-2300;;AFS;ZSJ CapeNaval Meteo Fax;;SAf;ct;1;;
13540;0500-0510;Th;RUS;E06 Russian Spy Numbers;E;RUS;xx;1;0108;3108[0817]
13545;0400-0410;Th;RUS;E06 Russian Spy Numbers;E;RUS;c;1;0110;3110
13550;2130-1430;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[0819]
13550.1;1000-1300;;TWN;Sound of Hope;M;FE;;1;;
13550.1;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
13550.1;1400-1430;;TWN;Sound of Hope;M;FE;;1;;[0819]
13550.1;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
13550.1;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
13550.1;2300-1000;;TWN;Sound of Hope;M;FE;;1;;
13550.5;0030-0045;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;0130-0145;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;0230-0245;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;0330-0345;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;0430-0445;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;0930-0945;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;[0118]
13550.5;1030-1045;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1130-1145;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1230-1245;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1330-1345;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1430-1445;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1530-1545;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;1630-1645;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;2130-2145;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;2230-2245;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13550.5;2330-2345;;NZL;ZKLF Wellington Met Fax;;Oc;a;1;;
13557;0300-0310;Th;RUS;E06 Russian Spy Numbers;E;RUS;c;1;0109;3009
13562;0310-0320;Mo;RUS;E06 Russian Spy Numbers;E;RUS;c;1;0105;3105
13570;0900-1000;;CHN;China Radio Int.;M;FE;x;0;;
13570;1000-1100;;CHN;China Radio Int.;E;FE;x;0;;
13570;1100-1200;;CHN;China Radio Int.;K;FE;x;0;;
13570;1200-1300;;CHN;China Radio Int.;K;FE;x;0;;
13570;1600-1700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13570;0000-1200;;KOR;HLL Seoul Meteo Fax;;FE;sg;1;;[0419]
13570;1600-1700;;USA;Radio Free Asia;M;FE;/MRA-s;0;;
13575;1200-1300;;CHN;China Radio Int.;R;EEu;u;0;;
13575;1400-1500;SaSu;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13575;1400-1500;SaSu;USA;Radio Free Asia;CA;FE;/MRA-s;0;;
13580;1745-1900;;BGD;Bangladesh Betar;E;Eu;k;8;;[1018]
13580;0000-0100;;CHN;China Radio Int.;M;SEA;b;0;;
13580;0100-0200;;CHN;China Radio Int.;M;SEA;b;0;;
13580;1000-1100;;CHN;China Radio Int.;E;Oc;k;0;;
13580;1100-1300;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13580;0300-0330;;G;BBC;PS;AFG;/ARM;0;;
13580;0400-0500;;G;BBC;E;ME;/OMA-a;0;;
13580;0500-0600;;G;BBC;E;EAf;/UAE;0;;
13580;0600-0700;;G;BBC;E;EAf;/MDG;0;;
13580;0700-0800;;G;BBC;E;EAf;/MDG;0;;
13580;1557-1612;Su;SWZ;Trans World Radio;KiR;EAf;;1;;
13580;1557-1627;Mo-Fr;SWZ;Trans World Radio;KiR;EAf;;1;;[0419]
13580;1300-1400;Sa;USA;Preparing for Jesus;J;FE;/UZB;0;;
13580;1100-1200;;USA;Radio Free Asia;TB;FE;/TJK;0;;
13580;1200-1300;;USA;Radio Free Asia;TB;FE;/TJK;0;;
13584;0310-0320;Mo;RUS;E06 Russian Spy Numbers;E;RUS;c;1;0108;3108
13590;0300-0400;;CHN;China Radio Int.;E;FE;b;0;;
13590;0400-0500;;CHN;China Radio Int.;E;FE;b;0;;
13590;1000-1100;;CHN;China Radio Int.;E;SEA;b;0;;
13590;1100-1200;;CHN;China Radio Int.;E;SEA;b;0;;
13590;0530-0730;;IRN;IRIB Voice of I.R.Iran;A;ME;z;0;;
13590;0830-1430;;IRN;IRIB Voice of I.R.Iran;A;ME;z;0;;
13590;0700-0800;;NIG;Dandal Kura;KNU;NIG;/D-n;0;;
13590;0800-0900;Sa;NIG;Dandal Kura;KNU;NIG;/D-n;6;0104;3107
13590;1630-1700;Mo-Fr;USA;Voice of America;E;EAf;/UAE;0;;
13590;1700-1800;;USA;Voice of America;E;Af;/G-w;0;;
13600;0100-0200;;CHN;China Radio Int.;R;CAs;x;0;;
13600;0200-0300;;CHN;China Radio Int.;TAM;SAs;ka;0;;
13600;0300-0400;;CHN;China Radio Int.;TAM;SAs;ka;0;;
13600;1200-1300;;CHN;China Radio Int.;R;CAs;x;0;;
13600;1300-1400;;CHN;China Radio Int.;R;CAs;x;0;;
13600;1400-1500;;CHN;China Radio Int.;TAM;SAs;ka;0;;
13600;0400-1000;;OMA;Radio Sultanate Oman;A;EAf;t;5;;[0320]
13605;1300-2000;;USA;Radio Marti;S;CUB;g;0;;
13610;0600-0900;;ARS;BSKSA 1;A;NAf;;8;;
13610;0900-1200;;ARS;BSKSA 1;A;NAf;;8;;
13610;1200-1400;;ARS;BSKSA 1;A;NAf;;8;;
13610;0600-0850;We-Mo;CHN;China National Radio 1;M;CHN;n;1;;
13610;0850-1300;;CHN;China National Radio 1;M;CHN;n;1;;[0420]
13610;2300-0600;;CHN;China National Radio 1;M;CHN;n;1;;
13610;1100-1200;;CHN;China Radio Int.;M;SAs;ka;0;;
13610;1200-1300;;CHN;China Radio Int.;M;SAs;ka;0;;
13610;1730-2200;;OMA;Radio Sultanate Oman;A;EAf;t;8;;
13630;1930-2000;;CHN;China Radio Int.;P;SAf;/MLI;0;;
13630;2000-2100;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13630;2100-2130;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13630;2130-2230;;CHN;China Radio Int.;F;EAf;/MLI;0;;
13630;0000-0100;Tu;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13630;0550-0820;;IRN;IRIB Voice of I.R.Iran;DR;CAs;s;0;;
13630;0000-0100;Tu;USA;Voice of America;TB;FE;/THA-u;0;;
13630;1600-1630;;USA;Voice of America;KNK;EAf;/STP;0;;
13630;1630-1700;Fr;USA;Voice of America;P;AGL;/STP;0;;
13630;1700-1800;;USA;Voice of America;P;SAf;/BOT;0;;
13630;1800-1830;Mo-Fr;USA;Voice of America;P;Af;/BOT;0;;
13635;0600-1300;;TUR;Voice of Turkey;TU;Eu;e;0;;
13640;0200-0300;;CHN;China Radio Int.;E;SAs;ka;0;;
13640;0400-0500;;CHN;China Radio Int.;M;SAs;ka;0;;
13640;1500-1600;;CHN;China Radio Int.;E;Eu;ka;0;;
13640;2200-2300;;CHN;China Radio Int.;J;FE;j;0;;
13640;2300-2400;;CHN;China Radio Int.;J;FE;j;0;;
13640;0000-0100;We;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13640;2300-1500;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[0719]
13640.2;1000-1300;;TWN;Sound of Hope;M;FE;;1;;[0917]
13640.2;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
13640.2;1400-1430;;TWN;Sound of Hope;M;FE;;1;;[0819]
13640.2;1430-1500;;TWN;Sound of Hope;M;FE;;1;;
13640.2;2300-1000;;TWN;Sound of Hope;M;FE;;1;;[0419]
13640;0000-0100;We;USA;Voice of America;TB;FE;/THA-u;0;;
13645;0600-0700;;CHN;China Radio Int.;E;SEA;x;0;;
13645;1700-1800;;CHN;China Radio Int.;SWA;EAf;/MLI;0;;
13645;1800-1830;;CHN;China Radio Int.;HA;NIG;/MLI;0;;
13650;1300-1400;;CHN;China Radio Int.;M;CAs;u;0;;
13650;2300-2400;;CHN;China Radio Int.;P;SAm;/CUB;0;;
13650;2259-2320;;J;NHK Radio Japan;T;SEA;y;0;;
13650;2320-2340;;J;NHK Radio Japan;VN;SEA;y;0;;
13650;2340-2400;;J;NHK Radio Japan;BR;SEA;y;0;;
13650;0300-0400;;KRE;Voice of Korea;M;SEA;u;1;;
13650;0400-0500;;KRE;Voice of Korea;F;SEA;u;1;;
13650;0500-0600;;KRE;Voice of Korea;E;SEA;u;1;;
13650;0600-0700;;KRE;Voice of Korea;M;SEA;u;1;;
13650;1000-1100;;KRE;Voice of Korea;E;SEA;u;5;;
13650;1100-1200;;KRE;Voice of Korea;F;SEA;u;5;;
13650;1200-1300;;KRE;Voice of Korea KCBS;K;SEA;u;5;;
13650;1300-1400;;KRE;Voice of Korea;M;SEA;u;5;;
13650;1400-1500;;KRE;Voice of Korea KCBS;K;SEA;u;5;;
13650;1700-2000;;KWT;Radio Kuwait DIGITAL;A;NAm;k;1;;
13650;2030-2100;;ROU;Radio Romania Int.;E;ENA;t;0;;
13655;0000-0100;;CHN;China Radio Int.;M;FE;x;0;;
13655;0100-0200;;CHN;China Radio Int.;M;FE;x;0;;
13655;0200-0300;;CHN;China Radio Int.;M;FE;x;0;;
13660;0700-0800;;CHN;China Radio Int.;E;SEA;x;0;;
13660;0600-0700;;G;BBC;E;CAf;w;0;;
13660;1330-1500;Sa;G;BBC;SO;EAf;/UAE;0;;
13660;1400-1500;;G;BBC;SO;EAf;/UZB;0;;
13660;1600-1700;;G;BBC;E;SAf;/UAE;0;;
13660;1800-1900;;G;BBC;E;WAf;w;0;;
13660;1530-1600;;ROU;Radio Romania Int.;A;NAf;t;0;;
13670;1300-1400;;CHN;China Radio Int.;E;Eu;ka;0;;
13670;0000-0100;Mo;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13670;0300-0800;;CHN;PBS Xinjiang;UI;CHN;uc;1;;[0419]
13670;0800-1100;We-Mo;CHN;PBS Xinjiang;UI;CHN;uc;1;;[0420]
13670;1100-1135;;CHN;PBS Xinjiang;UI;CHN;uc;1;;[1018]
13670;1135-1200;;CHN;PBS Xinjiang;UI;CHN;uc;1;;
13670;1200-1225;;CHN;PBS Xinjiang;UI;CHN;uc;4;;
13670;1200-1400;;CHN;PBS Xinjiang;UI;CHN;uc;5;;
13670;1800-1900;;MDG;MWV African Pathways R.;E;WAf;m;1;;
13670;1900-2000;;MDG;MWV Radio Feda;A;ME;m;1;;
13670;0000-0100;Mo;USA;Voice of America;TB;FE;/THA-u;0;;
13670;2130-2200;Mo-Fr;USA;Voice of America;BM;WAf;/BOT;0;;
13675;0600-0800;;OMA;Radio Sultanate Oman;A;EAf;t;8;;
13675;0600-1300;;TUR;Voice of Turkey;TU;Eu;e;6;2806;2806
13675;1100-1200;;TUR;Voice of Turkey;TU;Eu;e;6;0604;0604
13680;1500-1600;;CHN;China Radio Int.;M;Eu;ka;0;;
13680;2130-1500;;CHN;CNR1 Jammer/Firedrake;M;FE;;1;;[0419]
13680;0920-1250;;IRN;IRIB Voice of I.R.Iran;DR;CAs;s;0;;
13680;1430-1500;;J;NHK Radio Japan;FS;IRN;/F;0;;
13680;2100-2300;;J;NHK Radio Japan;J;SEA;y;0;;
13680;1000-1300;;TWN;Sound of Hope;M;FE;;1;;[0917]
13680;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
13680;1400-1430;;TWN;Sound of Hope;M;FE;;1;;
13680;1430-1500;;TWN;Sound of Hope;M;FE;;1;;
13680;2130-2200;;TWN;Sound of Hope;M;FE;;1;;
13680;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
13680;2300-1000;;TWN;Sound of Hope;M;FE;;1;;[0419]
13680;0330-0400;;USA;Voice of America;SO;EAf;/KWT;0;;
13683.6;0000-2400;;USA;CruiseEmail;-CW;NAm;/CAN-fg;1;;
13685;1300-1400;;CHN;China Radio Int.;F;EAf;/MLI;0;;
13685;1400-1500;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13685;1500-1600;;CHN;China Radio Int.;E;EAf;/MLI;0;;
13685;1830-1930;;CHN;China Radio Int.;A;NAf;/MLI;0;;
13685;0450-0550;;IRN;IRIB Voice of I.R.Iran;SWA;EAf;s;0;;
13690;0000-0100;Sa;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13690;1600-1700;;F;Radio France Int.;HA;CAf;;6;2709;2410
13690;1150-1220;;IRN;IRIB Voice of I.R.Iran;HB;ME;s;0;;
13690;1700-1900;;J;NHK Radio Japan;J;ME;/D-n;0;;
13690;0000-0100;Sa;USA;Voice of America;TB;FE;/THA-u;0;;
13695;0500-0600;;F;Radio France Int.;F;CAf;;6;3105;2908
13695;0600-0700;;F;Radio France Int.;F;WAf;;0;;
13695;0700-0800;;F;Radio France Int.;F;WAf;;0;;
13695;0800-0900;;F;Radio France Int.;F;WAf;;0;;
13695;0900-1000;;F;Radio France Int.;F;WAf;;6;0604;2410
13695;1000-1100;;F;Radio France Int.;F;WAf;;6;0604;2410
13700;0200-0600;;CHN;China National Radio 13;UI;CHN;L;4;;[0320]
13700;0600-0900;We-Mo;CHN;China National Radio 13;UI;CHN;L;1;;
13700;0900-1100;;CHN;China National Radio 13;UI;CHN;L;4;;[0120]
13700;0900-1400;;CHN;China National Radio 13;UI;CHN;L;5;;[0820]
13700;2355-0600;;CHN;China National Radio 13;UI;CHN;L;5;;[0419]
13700;1800-1900;;CHN;China Radio Int.;AM;SEu;u;0;;
13700;1300-1400;;CUB;Radio Habana Cuba;S;WNA;b;2;;
13700;1400-1500;;CUB;Radio Habana Cuba;S;WNA;b;2;;
13710;1500-1600;;ARS;BSKSA Holy Quran;A;NAf;;1;;[0420]
13710;1600-1800;;ARS;BSKSA Holy Quran;A;NAf;;1;;[0720]
13710;1400-1500;;CHN;China Radio Int.;E;Eu;ka;0;;
13710;1200-1230;Sa;D;Mission.Friedensstimme;R;Sib;n;6;2903;2504[0320]
13710;2000-2100;;MDG;MWV Radio Feda;A;ME;m;1;;
13710;2100-2200;;MDG;MWV The Light of Life;M;WEu;m;6;1410;1410
13710;0400-0430;;ROU;Radio Romania DIGITAL;M;FE;t;0;;
13710;1200-1300;;TUR;Voice of Turkey;UR;PAK;e;0;;
13720;0700-0855;;ARS;BSKSA Riad;SO;EAf;;1;;[0420]
13720;0300-0400;;CHN;China Radio Int.;HI;SAs;ka;0;;
13720;1000-1100;;CHN;China Radio Int.;E;SEA;x;0;;
13720;1100-1200;;CHN;China Radio Int.;E;SEA;x;0;;
13720;1500-1600;2467;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13720;1200-1230;;F;Radio France Int.;BM;WAf;;6;3105;2908
13720;1300-1330;SaSu;F;Radio France Int.;FU;WAf;;0;;
13720;1700-1730;SaSu;F;Radio France Int.;BM;WAf;;0;;
13720;1730-1800;SaSu;F;Radio France Int.;FU;WAf;;0;;
13720;1500-1600;2467;USA;Radio Free Asia;TB;FE;/MRA-t;0;;
13720;0000-2400;;USA;WIPE Trading DIGITAL NJ;;NAm;;8;;
13730;0300-0400;;CHN;China Radio Int.;TAM;SAs;k;0;;
13730;0900-1000;;CHN;China Radio Int.;M;Oc;k;0;;
13730;0530-0730;;IRN;IRIB Voice of I.R.Iran;A;ME;z;0;;
13730;1730-1800;;J;NHK Radio Japan;SWA;EAf;/MDG;0;;
13740;0000-0100;;CUB;Radio Habana Cuba;S;SAm;b;1;;
13740;0100-0200;;CUB;Radio Habana Cuba;S;SAm;b;1;;
13740;0200-0300;;CUB;Radio Habana Cuba;S;SAm;b;4;;
13740;0200-0400;;CUB;Radio Habana Cuba;S;SAm;b;5;;
13740;0300-0500;;CUB;Radio Habana Cuba;S;SAm;b;4;;
13740;1100-1200;;CUB;Radio Habana Cuba;S;SAm;b;5;3103;
13740;1200-1300;;CUB;Radio Habana Cuba;S;SAm;b;1;3103;
13740;1300-1400;;CUB;Radio Habana Cuba;S;SAm;b;1;3103;
13740;2200-2300;;CUB;Radio Habana Cuba;S;SAm;b;5;3103;
13740;2300-2400;;CUB;Radio Habana Cuba;S;SAm;b;5;3103;
13740;0700-0730;;F;Radio France Int.;HA;CAf;;6;2903;2908
13740;1200-1300;;F;Radio France Int.;F;WAf;;0;;
13740;1700-1800;;F;Radio France Int.;F;WAf;;0;;
13740;1800-1900;;F;Radio France Int.;F;WAf;;0;;
13740;1900-2000;;F;Radio France Int.;F;WAf;;0;;
13740;0420-0450;;IRN;IRIB Voice of I.R.Iran;HB;ME;s;0;;
13745;1530-1630;;HOL;Radio Dabanga;SUD;SDN;/BUL-s;0;;
13745;1315-1330;Sa;IND;Trans World Radio;BE;SAs;/ARM;0;;
13745;1315-1330;Su;IND;Trans World Radio;BHT;SAs;/ARM;0;;
13745;1315-1345;Mo-Fr;IND;Trans World Radio;MAI;SAs;/ARM;0;;
13745;1330-1345;Sa;IND;Trans World Radio;BUN;SAs;/ARM;0;;
13745;1330-1345;Su;IND;Trans World Radio;BB;SAs;/ARM;6;0107;2510
13745;1330-1345;Su;IND;Trans World Radio;HI;SAs;/ARM;6;2903;3006
13745;1345-1400;Mo;IND;Trans World Radio;AW;SAs;/ARM;0;;
13745;1345-1400;We;IND;Trans World Radio;HAR;SAs;/ARM;0;;
13745;1345-1400;245;IND;Trans World Radio;HI;SAs;/ARM;0;;
13745;1345-1400;SaSu;IND;Trans World Radio;HI;SAs;/ARM;6;0107;2510
13745;1345-1400;SaSu;IND;Trans World Radio;KS;SAs;/ARM;6;2903;3006
13745;1400-1415;SaSu;IND;Trans World Radio;GA;SAs;/ARM;6;2903;3006
13745;1400-1430;Mo-Fr;IND;Trans World Radio;BJ;SAs;/ARM;0;;
13745;1415-1430;SaSu;IND;Trans World Radio;HI;SAs;/ARM;6;2903;3006
13745;1430-1445;Mo;IND;Trans World Radio;BB;SAs;/ARM;6;2903;3006
13745;1430-1445;Tu-We;IND;Trans World Radio;DO;SAs;/ARM;6;2903;3006
13745;1430-1445;Th-Su;IND;Trans World Radio;HI;SAs;/ARM;6;2903;3006
13745;0100-0400;;USA;VoA Deewa Radio;PS;AFG;/THA-u;0;;
13750;0000-0100;;CHN;China Radio Int.;E;FE;b;0;;
13750;0400-0500;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13750;0700-0800;Su;ROU;Radio Romania Int.;RO;ME;t;0;;
13750;1100-1200;;ROU;Radio Romania Int.;E;WEu;t;0;;
13750;1200-1230;;ROU;Radio Romania Int.;A;NAf;t;0;;
13750;0400-0500;;USA;Radio Free Asia;M;FE;/KWT;0;;
13755;1100-1200;;CHN;China Radio Int.;M;SAs;ka;0;;
13755;1200-1300;;CHN;China Radio Int.;M;SAs;ka;0;;
13755;1300-1400;;CHN;China Radio Int.;E;SAs;ka;0;;
13755;1500-1600;;CHN;China Radio Int.;M;Eu;ka;0;;
13755;0900-1100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13755;1400-1500;135;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13755;0900-1100;;USA;Voice of America;M;FE;/THA-u;0;;
13755;1400-1500;135;USA;Radio Free Asia;CA;FE;/MRA-s;0;;
13760;1600-1700;;CHN;China Radio Int.;E;Eu;ka;0;;
13760;1700-1800;;CHN;China Radio Int.;E;Eu;ka;0;;
13760;1800-1900;;CHN;China Radio Int.;E;Eu;ka;0;;
13760;0000-0100;Th;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13760;0300-0400;;KRE;Voice of Korea;S;LAm;u;1;;
13760;0400-0500;;KRE;Voice of Korea;E;LAm;u;1;;
13760;0500-0600;;KRE;Voice of Korea;S;LAm;u;1;;
13760;0600-0700;;KRE;Voice of Korea;F;LAm;u;1;;
13760;0700-0900;;KRE;Voice of Korea;R;Eu;u;1;;
13760;0900-1000;;KRE;Voice of Korea;K;Eu;u;8;;
13760;1300-1400;;KRE;Voice of Korea;E;Eu;u;5;;
13760;1400-1500;;KRE;Voice of Korea;F;Eu;u;5;;
13760;1500-1600;;KRE;Voice of Korea;E;Eu;u;5;;
13760;1600-1700;;KRE;Voice of Korea;F;Eu;u;5;;
13760;1700-1800;;KRE;Voice of Korea KCBS;K;Eu;u;5;;
13760;1800-1900;;KRE;Voice of Korea;E;Eu;u;5;;
13760;1900-2000;;KRE;Voice of Korea;S;Eu;u;5;;
13760;2000-2100;;KRE;Voice of Korea;F;Eu;u;5;;
13760;2100-2200;;KRE;Voice of Korea;E;Eu;u;5;;
13760;2200-2300;;KRE;Voice of Korea;S;Eu;u;5;;
13760;2300-2400;;KRE;Voice of Korea KCBS;K;Eu;u;5;;
13760;0300-0400;;MDG;MWV African Pathways R.;E;SAs;m;1;;
13760;1130-1230;;TUR;Voice of Turkey;D;Eu;e;0;;
13760;0000-0100;Th;USA;Voice of America;TB;FE;/THA-u;0;;
13765;0100-0300;;CHN;CNR1 Jammer/Firedrake;M;FE;;6;2903;2704
13765;1600-1615;Sa;CVA;Radio Vaticana;SWA;EAf;;4;;
13765;1600-1630;Su-Fr;CVA;Radio Vaticana;SWA;EAf;;4;;
13765;1615-1630;Sa;CVA;Radio Vaticana;SO;EAf;;4;;
13765;1630-1700;;CVA;Radio Vaticana;E;EAf;;4;;
13765;1700-1730;;CVA;Radio Vaticana;F;CAf;;4;;
13765;1130-1430;;IRN;IRIB Voice of I.R.Iran;A;ME;s;0;;
13765;0500-0700;;TUR;Voice of Turkey;HA;NIG;e;0;;
13765;0100-0200;;USA;Radio Free Asia;TB;FE;/TJK;6;2903;2704
13765;0200-0300;;USA;Radio Free Asia;TB;FE;/TJK;6;2903;2704
13770;0000-0100;;CHN;China Radio Int.;VN;SEA;x;0;;
13770;1700-1800;;F;Radio France Int.;F;WAf;;6;3105;2908
13770;1530-1600;Mo-Fr;USA;Voice of America;HA;WAf;/STP;0;;
13775;1200-1500;;ARS;BSKSA Riad;UR;SAs;;1;;[1020]
13775;2200-1430;;CHN;CNR1 Jammer/Firedrake;M;CHN;;1;;[1020]
13775;1600-1700;;D;Deutsche Welle;AH;EAf;/F;0;;
13775;1700-2300;;OMA;Radio Sultanate Oman;A;EAf;t;8;;
13775;1000-1300;;TWN;Sound of Hope;M;FE;;1;;
13775;1300-1400;;TWN;Sound of Hope;M;FE;;1;;
13775;1400-1430;;TWN;Sound of Hope;M;FE;;1;;
13775;2200-2300;;TWN;Sound of Hope;M;FE;;1;;
13775;2300-1000;;TWN;Sound of Hope;M;FE;;1;;[0419]
13780;0600-0800;;ARS;BSKSA Holy Quran;A;ME;;1;;[0820]
13780;0800-0900;;ARS;BSKSA Holy Quran;A;ME;;1;;
13780;0900-1200;;ARS;BSKSA Holy Quran;A;ME;;1;;[1019]
13780;0130-0230;;CHN;China Radio Int.;NE;FE;k;0;;
13780;0230-0330;;CHN;China Radio Int.;NE;FE;k;0;;
13780;1200-1300;;CUB;Radio Habana Cuba;S;SAm;b;6;2903;2904
13780;1300-1400;;CUB;Radio Habana Cuba;S;SAm;b;6;2903;2904
13780;1400-1500;;CUB;Radio Habana Cuba;S;SAm;b;6;2903;2904
13785;2000-2200;Su;USA;World Harvest Radio;E;Eu;c;6;2903;0409[0420]
13790;1600-1800;;CHN;China Radio Int.;A;NAf;ka;0;;
13790;0600-0700;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13790;1500-1600;135;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13790;0400-0430;;G;BBC;SO;EAf;/UAE;6;1708;2510
13790;1100-1130;;G;BBC;SO;EAf;/UAE;0;;
13790;0800-0900;Su;ROU;Radio Romania Int.;RO;ME;t;0;;
13790;0900-1000;Su;ROU;Radio Romania Int.;RO;NAf;t;0;;
13790;1000-1100;;ROU;Radio Romania Int.;F;NAf;t;0;;
13790;0600-0700;;USA;Radio Free Asia;M;FE;/MRA-s;0;;
13790;1500-1600;135;USA;Radio Free Asia;TB;FE;/MRA-t;0;;
13795;1230-1330;;CHN;China Radio Int.;ML;INS;k;0;;
13795;1400-1500;Tu,Th;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13795;1400-1500;Tu,Th;USA;Radio Free Asia;CA;FE;/MRA-s;0;;
13800;0900-1000;;CHN;China Radio Int.;E;Oc;k;0;;
13800;1000-1100;;CHN;CNR1 Jammer/Firedrake;M;FE;;0;;
13800;1530-1600;Sa;EQA;HCJB Voice of Andes;CHE;Cau;/D-n;5;;[0520]
13800;1600-1630;Sa;EQA;HCJB Voice of Andes;R;Cau;/D-n;5;;
13800;0430-0500;;HOL;Radio Dabanga;SUD;SDN;/MDG;0;;
13800;1700-2300;;OMA;Radio Sultanate Oman;A;EAf;t;8;;
